level,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
C,77,4,7754,197,7557,0.025406241939644053,0.801772182848591,0.603544365697182,0.6405406855426844,-0.036996319845502446
C,78,5,8755,195,8560,0.02227298686464877,0.8530361849988018,0.7060723699976037,0.6430828543805407,0.06298951561706301
C,79,6,5158,112,5046,0.021713842574641335,0.83148427325746,0.66296854651492,0.6456250232183969,0.01734352329652311
C,80,7,6246,120,6126,0.01921229586935639,0.7911837523125478,0.5823675046250956,0.6481671920562531,-0.0657996874311575
C,81,8,6743,188,6555,0.02788076523802462,0.7966527094795266,0.5933054189590532,0.6507093608941094,-0.05740394193505616
C,82,9,5423,122,5301,0.022496773003872397,0.7883495535948987,0.5766991071897973,0.6532515297319655,-0.07655242254216821
C,83,10,7295,156,7139,0.021384509938313912,0.8244762428121443,0.6489524856242885,0.6557936985698218,-0.006841212945533304
C,84,11,9721,216,9505,0.022219936220553443,0.8020379137685819,0.6040758275371638,0.658335867407678,-0.0542600398705142
C,85,12,16239,308,15931,0.018966685140710635,0.8503141999548376,0.7006283999096752,0.6608780362455342,0.039750363664140975
C,86,13,15630,277,15353,0.017722328854766475,0.8607214902436781,0.7214429804873561,0.6634202050833905,0.05802277540396561
C,87,14,17886,329,17557,0.018394274851839428,0.8528222361451274,0.7056444722902548,0.6659623739212467,0.039682098369008156
C,88,15,14234,265,13969,0.018617394969790643,0.848519700630912,0.697039401261824,0.6685045427591029,0.028534858502721083
C,89,16,13600,309,13291,0.022720588235294117,0.8268621806273755,0.653724361254751,0.6710467115969592,-0.017322350342208193
C,90,17,12103,330,11773,0.027265967115591174,0.8199418803682798,0.6398837607365595,0.6735888804348154,-0.03370511969825585
C,91,18,12674,288,12386,0.02272368628688654,0.8512677283492115,0.702535456698423,0.6761310492726715,0.026404407425751453
