model,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
xgboost,74,1,11280,303,10977,0.026861702127659575,0.8207552785888045,0.641510557177609,0.6260058385368901,0.015504718640718895
xgboost,75,2,13656,290,13366,0.02123608670181605,0.8269020210828297,0.6538040421656595,0.6288442010772907,0.024959841088368795
xgboost,76,3,10261,255,10006,0.024851379007893967,0.8360893267960793,0.6721786535921586,0.6316825636176913,0.0404960899744673
xgboost,77,4,7754,197,7557,0.025406241939644053,0.796218787972828,0.5924375759456559,0.6345209261580919,-0.04208335021243592
xgboost,78,5,8755,195,8560,0.02227298686464877,0.8533441169422478,0.7066882338844955,0.6373592886984925,0.06932894518600308
xgboost,79,6,5158,112,5046,0.021713842574641335,0.8256115169016478,0.6512230338032956,0.640197651238893,0.011025382564402553
xgboost,80,7,6246,120,6126,0.01921229586935639,0.7908627162912177,0.5817254325824355,0.6430360137792936,-0.06131058119685817
xgboost,81,8,6743,188,6555,0.02788076523802462,0.7981389064706169,0.5962778129412338,0.6458743763196941,-0.0495965633784603
xgboost,82,9,5423,122,5301,0.022496773003872397,0.7827273542573161,0.5654547085146322,0.6487127388600947,-0.08325803034546253
xgboost,83,10,7295,156,7139,0.021384509938313912,0.8191951217760155,0.638390243552031,0.6515511014004953,-0.013160857848464325
xgboost,84,11,9721,216,9505,0.022219936220553443,0.7998894344107389,0.5997788688214778,0.6543894639408959,-0.054610595119418126
xgboost,85,12,16239,308,15931,0.018966685140710635,0.8509484285722438,0.7018968571444877,0.6572278264812965,0.04466903066319117
xgboost,86,13,15630,277,15353,0.017722328854766475,0.8615830441304173,0.7231660882608346,0.6600661890216971,0.0630998992391375
xgboost,87,14,17886,329,17557,0.018394274851839428,0.8539068493017878,0.7078136986035757,0.6629045515620977,0.04490914704147797
xgboost,88,15,14234,265,13969,0.018617394969790643,0.8440944031055287,0.6881888062110575,0.6657429141024983,0.022445892108559184
xgboost,89,16,13600,309,13291,0.022720588235294117,0.8261447328276988,0.6522894656553977,0.6685812766428989,-0.01629181098750121
xgboost,90,17,12103,330,11773,0.027265967115591174,0.8189406165622932,0.6378812331245864,0.6714196391832995,-0.033538406058713055
xgboost,91,18,12674,288,12386,0.02272368628688654,0.8478316692681702,0.6956633385363404,0.6742580017237001,0.02140533681264034
random_forest,73,0,8687,189,8498,0.021756647864625302,0.798115585241968,0.596231170483936,0.593563086766395,0.0026680837175410144
random_forest,74,1,11280,303,10977,0.026861702127659575,0.8100691184177179,0.6201382368354358,0.5964764858024393,0.023661751032996503
random_forest,75,2,13656,290,13366,0.02123608670181605,0.8157213103757863,0.6314426207515726,0.5993898848384835,0.0320527359130891
random_forest,76,3,10261,255,10006,0.024851379007893967,0.8207855678749614,0.6415711357499227,0.6023032838745278,0.039267851875394943
random_forest,77,4,7754,197,7557,0.025406241939644053,0.7875187492149344,0.5750374984298687,0.6052166829105721,-0.030179184480703336
random_forest,78,5,8755,195,8560,0.02227298686464877,0.8379169662113587,0.6758339324227174,0.6081300819466164,0.06770385047610095
random_forest,79,6,5158,112,5046,0.021713842574641335,0.8036475142970386,0.6072950285940772,0.6110434809826607,-0.0037484523885834564
random_forest,80,7,6246,120,6126,0.01921229586935639,0.7699001523560779,0.5398003047121558,0.613956880018705,-0.07415657530654918
random_forest,81,8,6743,188,6555,0.02788076523802462,0.776065046983787,0.552130093967574,0.6168702790547492,-0.06474018508717527
random_forest,82,9,5423,122,5301,0.022496773003872397,0.7635630147111122,0.5271260294222244,0.6197836780907935,-0.09265764866856907
random_forest,83,10,7295,156,7139,0.021384509938313912,0.8016977886007162,0.6033955772014323,0.6226970771268378,-0.01930149992540542
random_forest,84,11,9721,216,9505,0.022219936220553443,0.7919082549145674,0.5838165098291348,0.625610476162882,-0.04179396633374721
random_forest,85,12,16239,308,15931,0.018966685140710635,0.8349628919194546,0.6699257838389092,0.6285238751989263,0.04140190863998294
random_forest,86,13,15630,277,15353,0.017722328854766475,0.85147154297388,0.7029430859477599,0.6314372742349705,0.07150581171278936
random_forest,87,14,17886,329,17557,0.018394274851839428,0.8361051706010799,0.6722103412021598,0.6343506732710149,0.037859667931144925
random_forest,88,15,14234,265,13969,0.018617394969790643,0.8302605364709188,0.6605210729418376,0.6372640723070592,0.023257000634778424
random_forest,89,16,13600,309,13291,0.022720588235294117,0.8144560435694007,0.6289120871388014,0.6401774713431034,-0.01126538420430201
random_forest,90,17,12103,330,11773,0.027265967115591174,0.8088436818709476,0.6176873637418951,0.6430908703791477,-0.02540350663725255
random_forest,91,18,12674,288,12386,0.02272368628688654,0.8349360052568311,0.6698720105136622,0.646004269415192,0.02386774109847023
extra_trees,73,0,8687,189,8498,0.021756647864625302,0.7668950428423245,0.5337900856846489,0.4639914477308445,0.06979863795380442
extra_trees,74,1,11280,303,10977,0.026861702127659575,0.7142029043024554,0.42840580860491073,0.46257189054888576,-0.034166081943975024
extra_trees,75,2,13656,290,13366,0.02123608670181605,0.7323904709324225,0.464780941864845,0.461152333366927,0.0036286084979179623
extra_trees,76,3,10261,255,10006,0.024851379007893967,0.7468609030660035,0.493721806132007,0.4597327761849683,0.03398902994703873
extra_trees,77,4,7754,197,7557,0.025406241939644053,0.7270967382243511,0.4541934764487021,0.45831321900300953,-0.004119742554307415
extra_trees,78,5,8755,195,8560,0.02227298686464877,0.7426222142343637,0.4852444284687274,0.45689366182105073,0.028350766647676662
extra_trees,79,6,5158,112,5046,0.021713842574641335,0.7201425457222129,0.44028509144442585,0.455474104639092,-0.015189013194666146
extra_trees,80,7,6246,120,6126,0.01921229586935639,0.7184772554140821,0.4369545108281643,0.45405454745713325,-0.017100036628968973
extra_trees,81,8,6743,188,6555,0.02788076523802462,0.7011303698654592,0.40226073973091836,0.4526349902751745,-0.05037425054425615
extra_trees,82,9,5423,122,5301,0.022496773003872397,0.671665723448406,0.34333144689681205,0.45121543309321577,-0.10788398619640371
extra_trees,83,10,7295,156,7139,0.021384509938313912,0.726857887874837,0.4537157757496739,0.449795875911257,0.003919899838416896
extra_trees,84,11,9721,216,9505,0.022219936220553443,0.7098632298790111,0.41972645975802214,0.4483763187292983,-0.028649858971276143
extra_trees,85,12,16239,308,15931,0.018966685140710635,0.7307048375013349,0.4614096750026697,0.44695676154733954,0.014452913455330174
extra_trees,86,13,15630,277,15353,0.017722328854766475,0.7368726487444334,0.47374529748886673,0.4455372043653808,0.028208093123485933
extra_trees,87,14,17886,329,17557,0.018394274851839428,0.7402471810012478,0.4804943620024955,0.44411764718342206,0.03637671481907345
extra_trees,88,15,14234,265,13969,0.018617394969790643,0.7304038457122712,0.4608076914245425,0.44269809000146326,0.018109601423079214
extra_trees,89,16,13600,309,13291,0.022720588235294117,0.7324098673482482,0.4648197346964964,0.4412785328195045,0.02354120187699188
extra_trees,90,17,12103,330,11773,0.027265967115591174,0.7125554362961991,0.4251108725923982,0.4398589756375458,-0.014748103045147565
extra_trees,91,18,12674,288,12386,0.02272368628688654,0.7251475119758868,0.45029502395177357,0.43843941845558704,0.011855605496186528
hist_gradient_boosting,73,0,8687,189,8498,0.021756647864625302,0.8104446611154072,0.6208893222308145,0.6258634290910697,-0.004974106860255234
hist_gradient_boosting,74,1,11280,303,10977,0.026861702127659575,0.8233209492034199,0.6466418984068398,0.6285943400503814,0.018047558356458437
hist_gradient_boosting,75,2,13656,290,13366,0.02123608670181605,0.8248315334327448,0.6496630668654897,0.631325251009693,0.018337815855796746
hist_gradient_boosting,76,3,10261,255,10006,0.024851379007893967,0.8381145822310536,0.6762291644621072,0.6340561619690046,0.04217300249310263
hist_gradient_boosting,77,4,7754,197,7557,0.025406241939644053,0.7991320112659859,0.5982640225319718,0.6367870729283163,-0.038523050396344516
hist_gradient_boosting,78,5,8755,195,8560,0.02227298686464877,0.8523852743829379,0.7047705487658757,0.6395179838876278,0.06525256487824793
hist_gradient_boosting,79,6,5158,112,5046,0.021713842574641335,0.8304756950342563,0.6609513900685127,0.6422488948469395,0.01870249522157319
hist_gradient_boosting,80,7,6246,120,6126,0.01921229586935639,0.7894384590270976,0.5788769180541953,0.644979805806251,-0.06610288775205575
hist_gradient_boosting,81,8,6743,188,6555,0.02788076523802462,0.7954760861450574,0.5909521722901148,0.6477107167655627,-0.056758544475447925
hist_gradient_boosting,82,9,5423,122,5301,0.022496773003872397,0.7885165496148268,0.5770330992296535,0.6504416277248743,-0.07340852849522084
hist_gradient_boosting,83,10,7295,156,7139,0.021384509938313912,0.8247950046871464,0.6495900093742928,0.6531725386841859,-0.003582529309893112
hist_gradient_boosting,84,11,9721,216,9505,0.022219936220553443,0.7978166949169054,0.5956333898338109,0.6559034496434976,-0.060270059809686694
hist_gradient_boosting,85,12,16239,308,15931,0.018966685140710635,0.8491775000468742,0.6983550000937484,0.6586343606028092,0.03972063949093918
hist_gradient_boosting,86,13,15630,277,15353,0.017722328854766475,0.8621532592437748,0.7243065184875497,0.6613652715621208,0.0629412469254289
