feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv,coefficient,log_odds_contribution,points
CC_UTILIZATION_MEAN,"(0.425, 0.55]",4657,457,4200,0.024764981767478607,0.03070778937476927,-0.21508571815418773,0.0012782130420662824,0.06692851797656195,-0.39109062531082517,0.08411800800834918,23
CC_UTILIZATION_MEAN,"(0.55, 0.822]",8777,1023,7754,0.045718379030094715,0.06869819109306306,-0.4072224843453504,0.009357896158071222,0.06692851797656195,-0.39109062531082517,0.1592608960432508,18
CC_UTILIZATION_MEAN,"(0.822, 0.917]",2926,465,2461,0.014512320585798974,0.03124475618350841,-0.7668535757623802,0.01283132806931722,0.06692851797656195,-0.39109062531082517,0.29990924446675155,8
CC_UTILIZATION_MEAN,"(0.917, inf]",2597,524,2073,0.012224780310645611,0.035204886397959524,-1.0577198263934295,0.024306513821176264,0.06692851797656195,-0.39109062531082517,0.41366430830786377,0
CC_UTILIZATION_MEAN,MISSING,132704,10422,122282,0.7209436693207244,0.6995670705104541,0.030099332677913364,0.0006434213591126134,0.06692851797656195,-0.39109062531082517,-0.011771566838443692,29
PREV_APPROVED_RATIO,"(-inf, 0.279]",8828,1214,7614,0.04489297789988474,0.08151827365170991,-0.5965458233939954,0.02184866721132115,0.062134078762019616,-0.35639885598883525,0.21260824900253772,14
PREV_APPROVED_RATIO,"(0.279, 0.431]",17057,1999,15058,0.0887807351376209,0.1342081417592375,-0.4132222117306958,0.01877161343737407,0.062134078762019616,-0.35639885598883525,0.14727192352999624,18
PREV_APPROVED_RATIO,"(0.431, 0.537]",21041,1953,19088,0.11254049624295093,0.13112058260898748,-0.15280425427628228,0.002839116241551136,0.062134078762019616,-0.35639885598883525,0.05445926141429409,25
PREV_APPROVED_RATIO,"(0.537, 0.612]",10325,857,9468,0.05582364715280828,0.05755612981172601,-0.030563078580648963,5.295000364411434e-05,0.062134078762019616,-0.35639885598883525,0.010892646241640165,28
PREV_APPROVED_RATIO,"(0.612, 0.679]",16253,1261,14992,0.08839161746195048,0.08467295365305232,0.04298090871803877,0.00015983154972332652,0.062134078762019616,-0.35639885598883525,-0.015318346696469575,29
PREV_APPROVED_RATIO,"(0.679, inf]",101219,7025,94194,0.5553446197111686,0.47155753934959893,0.16354772815810342,0.013703186642135155,0.062134078762019616,-0.35639885598883525,-0.05828822321512108,32
PREV_APPROVED_RATIO,MISSING,9783,586,9197,0.05422590639361611,0.03936637916568782,0.3202466406418855,0.004758713676270665,0.062134078762019616,-0.35639885598883525,-0.11413553635903563,36
INS_PAYMENT_PERC_MEAN,"(-inf, 0.8]",10135,1319,8816,0.05197963617497325,0.08856596301641105,-0.5328955893389143,0.01949669220391414,0.05545649515347181,-0.25734614839517683,0.13713862741314747,19
INS_PAYMENT_PERC_MEAN,"(0.8, 0.907]",16723,1829,14894,0.0878138366708035,0.1227975970735309,-0.33531836643033486,0.011730697389832784,0.05545649515347181,-0.25734614839517683,0.08629289008700923,22
INS_PAYMENT_PERC_MEAN,"(0.907, 0.935]",9242,953,8289,0.04887259049196855,0.06399973151659563,-0.2696621706044677,0.00407921768374083,0.05545649515347181,-0.25734614839517683,0.06939652097294283,24
INS_PAYMENT_PERC_MEAN,"(0.935, 0.978]",21203,1848,19355,0.11411465411270852,0.12407289324428633,-0.0836655608240637,0.0008331616617635948,0.05545649515347181,-0.25734614839517683,0.021531009831395193,27
INS_PAYMENT_PERC_MEAN,"(0.978, 1.096]",103488,7551,95937,0.5656208637822827,0.506863107024197,0.10968304051374328,0.0064447294149937865,0.05545649515347181,-0.25734614839517683,-0.02822650802048397,30
INS_PAYMENT_PERC_MEAN,"(1.096, inf]",14287,841,13446,0.07927683069548888,0.05648219619424774,0.3390204362433911,0.007727846932619425,0.05545649515347181,-0.25734614839517683,-0.08724560349448932,34
INS_PAYMENT_PERC_MEAN,MISSING,9428,554,8874,0.052321588071774526,0.03721851193073128,0.3406027896944659,0.005144149866607258,0.05545649515347181,-0.25734614839517683,-0.08765281606052322,34
INS_DPD_MEAN,"(-inf, 0.0256]",84997,5708,79289,0.4674688779555993,0.3831593784609189,0.19888174092122296,0.01676762003569901,0.05377454218697467,-0.48236058174311675,-0.09593271224884493,35
INS_DPD_MEAN,"(0.0256, 0.0814]",10011,741,9270,0.05465629412579703,0.049770111085008555,0.09364975471640752,0.00045758984326931066,0.05377454218697467,-0.48236058174311675,-0.04517295016510652,31
INS_DPD_MEAN,"(0.0814, 0.397]",29957,2565,27392,0.1614985747091198,0.1721985434775313,-0.0641518163459849,0.000686422431338909,0.05377454218697467,-0.48236058174311675,0.03094430745252686,26
INS_DPD_MEAN,"(0.397, 0.629]",10861,1029,9832,0.05796969009135422,0.0691009161996174,-0.17564770040539313,0.0019551742686089017,0.05377454218697467,-0.48236058174311675,0.0847255269493861,23
INS_DPD_MEAN,"(0.629, 1.929]",22514,2342,20172,0.1189314592797196,0.15723059368392792,-0.2791661226334294,0.010691820851839414,0.05377454218697467,-0.48236058174311675,0.13465873331643127,19
INS_DPD_MEAN,"(1.929, inf]",16742,1956,14786,0.08717709865607008,0.13132194516226467,-0.40971023857700006,0.018086595593998032,0.05377454218697467,-0.48236058174311675,0.1976280690261129,15
INS_DPD_MEAN,MISSING,9424,554,8870,0.05229800518233995,0.03721851193073128,0.34015195846676793,0.0051293191622211,0.05377454218697467,-0.48236058174311675,-0.16407589656709068,39
REGION_RATING_CLIENT_W_CITY,"(-inf, 1.5]",20527,970,19557,0.11530660975279018,0.06514734510304088,0.5709431999839613,0.028638091067970255,0.053724392030028545,-0.25770756841231174,-0.14713638376941088,38
REGION_RATING_CLIENT_W_CITY,"(1.5, 2.5]",137572,10909,126663,0.7467794331802398,0.7323286567765321,0.01954047349303913,0.00028237501327048407,0.053724392030028545,-0.25770756841231174,-0.005035727909516345,29
REGION_RATING_CLIENT_W_CITY,"(2.5, inf]",26407,3016,23391,0.1379110091797209,0.20249043431563402,-0.38408403135496716,0.024803925948787806,0.053724392030028545,-0.25770756841231174,0.09898136178648669,22
REGION_RATING_CLIENT_W_CITY,MISSING,0,0,0,2.947887249208492e-06,3.3563804792911326e-05,-0.38408403135496716,0.0,0.053724392030028545,-0.25770756841231174,0.09898136178648669,22
REGION_RATING_CLIENT,"(-inf, 1.5]",19308,907,18401,0.10849109443262014,0.060918305699134055,0.5771343749082756,0.027455891688343947,0.05062357537788176,-0.10270957506989835,-0.05927722640506039,32
REGION_RATING_CLIENT,"(1.5, 2.5]",136096,10755,125341,0.7389852192933325,0.7219910049003155,0.0232652395635349,0.0003953744690476124,0.05062357537788176,-0.10270957506989835,-0.0023895628694700567,28
REGION_RATING_CLIENT,"(2.5, inf]",29102,3233,25869,0.1525207383867982,0.21705712559575754,-0.352859994265821,0.0227723092204902,0.05062357537788176,-0.10270957506989835,0.03624210007020924,26
REGION_RATING_CLIENT,MISSING,0,0,0,2.947887249208492e-06,3.3563804792911326e-05,-0.352859994265821,0.0,0.05062357537788176,-0.10270957506989835,0.03624210007020924,26
CC_UTILIZATION_MAX,"(-inf, 0.00171]",16099,853,15246,0.08988913094104573,0.057287646407356445,0.45049202701979074,0.014686708851436041,0.04976846606425214,-0.37162240298975,-0.16741292960881804,40
CC_UTILIZATION_MAX,"(0.00171, 0.827]",6937,406,6531,0.03850791058547471,0.02728462596905729,0.34454029769523903,0.0038668738228588547,0.04976846606425214,-0.37162240298975,-0.12803889335630855,37
CC_UTILIZATION_MAX,"(0.827, 0.99]",5247,446,4801,0.028308310905022862,0.02996946001275296,-0.057023430482040026,9.472442066495016e-05,0.04976846606425214,-0.37162240298975,0.021191184262454674,27
CC_UTILIZATION_MAX,"(0.99, 1.038]",8759,883,7876,0.04643765715784912,0.0593012719401282,-0.24452004825724116,0.0031454117073254407,0.04976846606425214,-0.37162240298975,0.0908691279125256,22
CC_UTILIZATION_MAX,"(1.038, 1.093]",12169,1478,10691,0.06303411559742829,0.09923817834010135,-0.45384670530635557,0.016431094594466747,0.04976846606425214,-0.37162240298975,0.1686596032149288,17
CC_UTILIZATION_MAX,"(1.093, inf]",2591,407,2184,0.01287920549245495,0.02735174682014968,-0.7531663625329406,0.010900231308387494,0.04976846606425214,-0.37162240298975,0.2798934934955406,9
CC_UTILIZATION_MAX,MISSING,132704,10422,122282,0.7209436693207244,0.6995670705104541,0.030099332677913364,0.0006434213591126134,0.04976846606425214,-0.37162240298975,-0.011185586338154072,29
INS_PAYMENT_DIFF_MEAN,"(-inf, -1426.948]",14716,850,13866,0.08175303408611882,0.05708628385407927,0.3591390481988142,0.008858793200492565,0.04969919303482176,-0.11615174348804787,-0.04171462660293033,31
