feature,coefficient,importance,importance_pct
missingindicator_STATIC_CB_0__pmtaverage_4527227A,0.0056122323,0.0056122323,0.0031636007160607688
APPLPREV_1__mainoccupationinc_437A__MEAN,-0.0055753025,0.0055753025,0.003142783484079124
DEBITCARD_1__ROW_COUNT,-0.005093279,0.005093279,0.0028710680937952763
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_2__pmts_month_158T__MEAN,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,0.004981984,0.004981984,0.002808331392448473
missingindicator_CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MEAN,0.0049774456,0.0049774456,0.0028057731082003724
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.004973207,0.004973207,0.0028033838204306744
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,0.0049599255,0.0049599255,0.0027958970735063957
missingindicator_CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,-0.0047318703,0.0047318703,0.0026673429518209156
missingindicator_CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,-0.0047318703,0.0047318703,0.0026673429518209156
missingindicator_CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,-0.0047318703,0.0047318703,0.0026673429518209156
missingindicator_CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MEAN,-0.0047318703,0.0047318703,0.0026673429518209156
missingindicator_CREDIT_BUREAU_B_1__dpdmax_851P__MAX,-0.0047318703,0.0047318703,0.0026673429518209156
missingindicator_STATIC_CB_0__for3years_128L,-0.0047044014,0.0047044014,0.002651858804504098
missingindicator_CREDIT_BUREAU_B_1__credquantity_1099L__MAX,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_2__pmts_date_1107D__MIN_GAP,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_2__ROW_COUNT,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__dpd_550P__MEAN,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__installmentamount_833A__MAX,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__dpd_550P__MAX,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__totalamount_503A__MEAN,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__totalamount_503A__MAX,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,-0.0047025345,0.0047025345,0.0026508064378412263
missingindicator_CREDIT_BUREAU_B_1__ROW_COUNT,-0.004690019,0.004690019,0.0026437514831199366
missingindicator_DEPOSIT_1__contractenddate_991D__MIN_GAP,0.0040579415,0.0040579415,0.002287451044236482
missingindicator_DEPOSIT_1__contractenddate_991D__MAX_GAP,0.0040579415,0.0040579415,0.002287451044236482
APPLPREV_1__isbidproduct_390L__MAX,-0.0039343974,0.0039343974,0.002217809557153867
PERSON_2__ROW_COUNT,0.0039197,0.0039197,0.0022095246710909307
CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,0.0039165528,0.0039165528,0.0022077506026558823
DEPOSIT_1__ROW_COUNT,-0.0039159493,0.0039159493,0.002207410411279246
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,0.0039124177,0.0039124177,0.0022054196575663535
missingindicator_STATIC_CB_0__pmtssum_45A,-0.0039088046,0.0039088046,0.0022033829625159366
CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,-0.003906275,0.003906275,0.0022019570335907656
CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,-0.003906275,0.003906275,0.0022019570335907656
DEPOSIT_1__amount_416A__MEAN,-0.003906272,0.003906272,0.002201955342498587
DEPOSIT_1__amount_416A__MAX,-0.00390627,0.00390627,0.002201954215103801
CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MEAN,-0.0039062575,0.0039062575,0.00220194716888639
PERSON_2__empls_employedfrom_796D__MAX_GAP,-0.003906252,0.003906252,0.0022019440685507284
PERSON_2__empls_employedfrom_796D__MIN_GAP,-0.003906252,0.003906252,0.0022019440685507284
PERSON_2__empls_employer_name_740M__NUNIQUE,-0.003906251,0.003906251,0.0022019435048533354
CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,-0.00390625,0.00390625,0.0022019429411559424
CREDIT_BUREAU_B_1__ROW_COUNT,-0.00390625,0.00390625,0.0022019429411559424
CREDIT_BUREAU_B_1__installmentamount_833A__MAX,-0.00390625,0.00390625,0.0022019429411559424
missingindicator_STATIC_0__actualdpdtolerance_344P,-0.0039061883,0.0039061883,0.0022019081610267985
TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,-0.003654313,0.003654313,0.002059926711071845
DEBITCARD_1__openingdate_857D__MIN_GAP,0.0027154197,0.0027154197,0.0015306750056168414
CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MEAN,0.0027048509,0.0027048509,0.0015247174006103802
DEBITCARD_1__last180dayaveragebalance_704A__MAX,0.0025431449,0.0025431449,0.0014335641499882842
missingindicator_STATIC_0__lastapprcredamount_781A,-0.002478528,0.002478528,0.001397139771918683
