feature,WEEK_NUM,iv,iv_cv
CREDIT_BUREAU_A_2__ROW_COUNT,38,0.07508794351544765,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,39,0.05510314554477289,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,40,0.07187060792268708,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,41,0.075427435498906,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,42,0.0658299099908001,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,43,0.044270262411283415,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,44,0.03973782724265695,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,45,0.0563669943546056,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,46,0.09232721095778772,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,47,0.03354581954455663,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,48,0.05908874946824224,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,49,0.06429846023222864,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,50,0.0749844657888308,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,51,0.04295382054398441,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,52,0.04353430404327345,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,53,0.027401896553823746,0.4874652009533653
CREDIT_BUREAU_A_2__ROW_COUNT,54,0.04445823988716944,0.4874652009533653
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,0,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,1,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,2,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,3,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,4,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,5,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,6,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,7,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,8,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,9,0.04818023820438344,0.7618306290545118
